uuid,firstName,lastName,phoneNumber,email(s)
1f3a9c2e-6c4e-4c8b-9a2a-1c9c6f5b7e21,Frodo,Baggins,555-123-0101,frodo@shire.me,ringbearer@middleearth.org
8b72e1d4-2c5f-4b6d-93c0-7a4a2d91f8aa,Samwise,Gamgee,555-123-0102,samwise@gardens.me
c5e1a7b9-91c2-4f2c-8f5c-0c4e9b1d2e77,Gandalf,TheGrey,555-123-0103,gandalf@istari.org,mtwanderer@valinor.net
2a91c5d7-3f84-4b29-a6d1-9c7f5e2a4b11,Aragorn,Elessar,555-123-0104,aragorn@gondor.gov,strider@rangers.net
7c3b2e9d-5a61-4f8a-b2d3-1e9a4c6b8d22,Legolas,Greenleaf,555-123-0105,legolas@mirkwood.elv
9d4f1b7a-8c52-4e6d-9a3f-2b7c1e5d6a33,Gimli,SonOfGloin,555-123-0106,gimli@erebor.dwf,axe.master@lonelymountain.org
4e7b9c1a-2d65-4a8f-b3c9-6f1e2d7a8b44,Boromir,Steward,555-123-0107,boromir@gondor.gov
5a8d2c7b-1e49-4f6a-9c3d-8b2e1f7a6c55,Faramir,Captain,555-123-0108,faramir@gondor.gov,ithilien.ranger@gondor.gov
6b2e9f4a-3c75-4d8a-a1f2-7e9c3b5d8a66,Galadriel,Lorien,555-123-0109,galadriel@lothlorien.elv,ringbearer@nenya.elv
8e1c7a5d-4b62-4f9a-b3e1-2d7c6a9f5b77,Elrond,Halfelven,555-123-0110,elrond@rivendell.elv,lord@imladris.elv
